ID_MARCA;MARCA;ID_LINHA;LINHA;DATA_VENDA;QTD_VENDA
1;BOTICÁRIO;1;CABELOS;18/09/2018;20
2;EUDORA;5;HIDRATANTES;21/09/2018;1
5;BELEZA NA WEB;2;PERFUMARIA;22/02/2018;1
4;VULT;3;MAQUIAGEM;19/08/2018;11
2;EUDORA;4;SOLAR;08/07/2018;4
2;EUDORA;5;HIDRATANTES;09/02/2018;16
5;BELEZA NA WEB;4;SOLAR;03/10/2018;1
2;EUDORA;3;MAQUIAGEM;25/12/2018;13
1;BOTICÁRIO;1;CABELOS;04/08/2018;4
3;QUEM DISSE BERENICE;2;PERFUMARIA;15/10/2018;18
1;BOTICÁRIO;3;MAQUIAGEM;28/09/2018;12
2;EUDORA;3;MAQUIAGEM;09/06/2018;16
5;BELEZA NA WEB;5;HIDRATANTES;04/08/2018;20
3;QUEM DISSE BERENICE;3;MAQUIAGEM;09/10/2018;13
4;VULT;3;MAQUIAGEM;08/09/2018;4
2;EUDORA;4;SOLAR;01/01/2018;3
2;EUDORA;1;CABELOS;20/02/2018;2
4;VULT;3;MAQUIAGEM;01/08/2018;7
4;VULT;2;PERFUMARIA;17/07/2018;19
4;VULT;1;CABELOS;14/09/2018;1
1;BOTICÁRIO;5;HIDRATANTES;23/12/2018;3
2;EUDORA;4;SOLAR;24/06/2018;12
1;BOTICÁRIO;2;PERFUMARIA;31/12/2018;1
4;VULT;1;CABELOS;28/04/2018;16
4;VULT;3;MAQUIAGEM;08/10/2018;4
2;EUDORA;2;PERFUMARIA;12/02/2018;13
1;BOTICÁRIO;2;PERFUMARIA;18/06/2018;10
2;EUDORA;1;CABELOS;27/07/2018;9
1;BOTICÁRIO;3;MAQUIAGEM;30/05/2018;15
1;BOTICÁRIO;1;CABELOS;10/10/2018;6
3;QUEM DISSE BERENICE;1;CABELOS;23/06/2018;11
3;QUEM DISSE BERENICE;5;HIDRATANTES;10/05/2018;10
1;BOTICÁRIO;2;PERFUMARIA;28/06/2018;13
4;VULT;2;PERFUMARIA;11/11/2018;20
4;VULT;2;PERFUMARIA;30/11/2018;20
3;QUEM DISSE BERENICE;4;SOLAR;15/08/2018;5
3;QUEM DISSE BERENICE;2;PERFUMARIA;14/01/2018;19
4;VULT;4;SOLAR;18/07/2018;16
2;EUDORA;2;PERFUMARIA;02/12/2018;13
3;QUEM DISSE BERENICE;1;CABELOS;14/11/2018;3
3;QUEM DISSE BERENICE;4;SOLAR;08/08/2018;20
1;BOTICÁRIO;2;PERFUMARIA;31/07/2018;10
3;QUEM DISSE BERENICE;1;CABELOS;11/11/2018;4
3;QUEM DISSE BERENICE;3;MAQUIAGEM;07/03/2018;17
5;BELEZA NA WEB;2;PERFUMARIA;16/08/2018;11
2;EUDORA;3;MAQUIAGEM;29/10/2018;19
3;QUEM DISSE BERENICE;5;HIDRATANTES;14/12/2018;12
2;EUDORA;2;PERFUMARIA;13/07/2018;5
2;EUDORA;3;MAQUIAGEM;18/01/2018;9
